School,Nickname,City,State,Enrollment,"Current
Conference","Former
Conferences"
Air Force,Falcons,USAF Academy,CO,4181,Mountain West,WAC
Akron,Zips,Akron,OH,14516,MAC,"OAC, MCC, OVC"
Alabama,Crimson Tide,Tuscaloosa,AL,38316,SEC,"SIAA, SoCon"
Appalachian State,Mountaineers,Boone,NC,20641,Sun Belt,"NSC, SoCon"
Arizona,Wildcats,Tucson,AZ,49471,Big 12,"BIAA, WAC, Pac-12"
Arizona State,Sun Devils,Tempe,AZ,77881,Big 12,"BIAA, WAC, Pac-12"
Arkansas,Razorbacks,Fayetteville,AR,29068,SEC,SWC
Arkansas State,Red Wolves,Jonesboro,AR,12863,Sun Belt,"Arkansas Intercollegiate Conference, Southland, Big West"
Army,Black Knights,West Point,NY,4594,American,"CUSA, Independent"
Auburn,Tigers,Auburn,AL,31526,SEC,"SIAA, SoCon"
Ball State,Cardinals,Muncie,IN,19337,MAC,"IIC, ICC"
Baylor,Bears,Waco,TX,20626,Big 12,"TIAA, SWC"
Boise State,Broncos,Boise,ID,25830,Mountain West,"ICAC, Big Sky, Big West, WAC"
Boston College,Eagles,Chestnut Hill,MA,15046,ACC,Big East
Bowling Green,Falcons,Bowling Green,OH,17645,MAC,"Northwest Ohio Intercollegiate Athletic Association, OAC"
Buffalo,Bulls,Buffalo,NY,32332,MAC,New York State Conference
BYU,Cougars,Provo,UT,34802,Big 12,"Rocky Mountain, Mountain States, WAC, MW, Independent"
California,Golden Bears,Berkeley,CA,45435,ACC,"PCC, Pac-12"
Central Michigan,Chippewas,Mount Pleasant,MI,15465,MAC,"MCC, IIAC"
Charlotte,49ers,Charlotte,NC,30448,American,"Sun Belt, CUSA, A-10, CUSA"
Cincinnati,Bearcats,Cincinnati,OH,50921,Big 12,"OAC, Buckeye Intercollegiate Athletic Association, MAC, MVC, CUSA, Big East"
Clemson,Tigers,Clemson,SC,27341,ACC,"SIAA, SAIAA, SoCon"
Coastal Carolina,Chanticleers,Conway,SC,10473,Sun Belt,Big South
Colorado,Buffaloes,Boulder,CO,37956,Big 12,"Colorado Football Association, Rocky Mountain, Mountain States, Big Eight, Pac-12"
