team,conference,capacity,div,latitude,longitude
Michigan,Big Ten,107601,fbs,42.26586873251738,-83.7487256526947
Penn State,Big Ten,106572,fbs,40.81215273275043,-77.85620212554932
Ohio State,Big Ten,104944,fbs,40.0016856893694,-83.01972806453705
Texas A&M,SEC,102733,fbs,30.61009757817476,-96.34072922859283
Tennessee,SEC,102455,fbs,35.95473437262258,-83.92533302307129
LSU,SEC,102321,fbs,30.4120123982997,-91.183819770813
Alabama,SEC,101821,fbs,33.207489944951796,-87.5503921508789
Texas,Big 12,100119,fbs,30.28360340206824,-97.73233652114868
USC,Pac-12,93607,fbs,34.01400974062912,-118.28789591789246
Georgia,SEC,92746,fbs,33.949821489498824,-83.37344169616699
UCLA,Pac-12,92542,fbs,34.16156958726264,-118.1676149368286
Florida,SEC,88548,fbs,29.649868677972304,-82.34866619110107
Auburn,SEC,87451,fbs,32.602361666817515,-85.48891067504883
Nebraska,Big Ten,87091,fbs,40.82048352329494,-96.70571565628052
Florida State,ACC,82300,fbs,30.437547584621285,-84.30453398103501
Oklahoma,Big 12,82112,fbs,35.20589959488508,-97.44255065917967
Clemson,ACC,81500,fbs,34.67874665741346,-82.84317970275879
Notre Dame,Independent,80795,fbs,41.69842312158612,-86.23382449150085
Wisconsin,Big Ten,80321,fbs,43.06993802646878,-89.41274642944336
South Carolina,SEC,80250,fbs,33.97259115457693,-81.02021634578705
Michigan State,Big Ten,75005,fbs,42.7281691163326,-84.48487535119057
Arkansas,SEC,72000,fbs,36.067850785167344,-94.17879581451416
Arizona State,Pac-12,71706,fbs,33.426364,-111.932616
Missouri,SEC,71168,fbs,38.935895296722315,-92.33311414718628
Iowa,Big Ten,70585,fbs,41.65838893680983,-91.55147552490234
San Diego State,Mountain West,70561,fbs,32.78305325779114,-117.11960077285768
Washington,Pac-12,70500,fbs,47.65043054401222,-122.30291984739304
Temple,American,68532,fbs,39.900748900488125,-75.16749143600464
Pittsburgh,ACC,68400,fbs,40.44678376501633,-80.01575589179993
Virginia Tech,ACC,66233,fbs,37.2199742830054,-80.41805505752563
South Florida,American,65857,fbs,27.975994470037183,-82.50334918498993
Miami (FL),ACC,65326,fbs,25.957933739028963,-80.23884057998657
UTSA,C-USA,65000,fbs,29.416937128681557,-98.47890257835388
BYU,Independent,63725,fbs,40.25748799746312,-111.65443897247314
North Carolina,ACC,62980,fbs,35.90698834747853,-79.04791831970215
California,Pac-12,62717,fbs,37.87068660370429,-122.2507095336914
Memphis,American,62380,fbs,35.120856917268995,-89.97805741128388
Kentucky,SEC,62093,fbs,38.02262168129363,-84.50520515441895
Iowa State,Big 12,61500,fbs,42.01400541108485,-93.6358094215393
Virginia,ACC,61500,fbs,38.03112372855688,-78.51370811462402
Mississippi State,SEC,61337,fbs,33.456230599072065,-88.79342436790466
Texas Tech,Big 12,60862,fbs,33.59102829801104,-101.87293767929076
Illinois,Big Ten,60670,fbs,40.09930573133053,-88.23598623275757
Ole Miss,SEC,60580,fbs,34.362154302992906,-89.53414626020904
Oklahoma State,Big 12,60218,fbs,36.12570866235855,-97.06650495529176
West Virginia,Big 12,60000,fbs,39.65221992482815,-79.9551753012939
NC State,ACC,57583,fbs,35.80075968207897,-78.71948719024658
Purdue,Big Ten,56400,fbs,40.434323,-86.918485
Georgia Tech,ACC,55000,fbs,33.772556921319435,-84.392852783203125
Louisville,ACC,55000,fbs,38.205421685211434,-85.75810561566809
Oregon,Pac-12,54000,fbs,44.058272724266615,-123.0685043334961
Indiana,Big Ten,52959,fbs,39.18090913372923,-86.52557373046875
Minnesota,Big Ten,52525,fbs,44.97652496911191,-93.224575817585
Rutgers,Big Ten,52454,fbs,40.51378289308872,-74.46504457087282
Arizona,Pac-12,51811,fbs,32.228340232071496,-110.94903945922852
Maryland,Big Ten,51802,fbs,38.99120275144426,-76.94731173248788
UTEP,C-USA,51500,fbs,31.77334530512776,-106.50789678096773
Colorado,Pac-12,50183,fbs,40.00939837446321,-105.26688694953918
Kansas,Big 12,50071,fbs,38.96294598898537,-95.2463150024414
Hawaii,Mountain West,50000,fbs,21.372782993268284,-157.92996883392334
East Carolina,American,50000,fbs,35.59642579698931,-77.36522912979126
Kansas State,Big 12,50000,fbs,39.201863618142475,-96.59379243850708
Stanford,Pac-12,50000,fbs,37.43472641329173,-122.1610164642334
Syracuse,ACC,49250,fbs,43.036132820423234,-76.13651990890503
Northwestern,Big Ten,47130,fbs,42.06539966752991,-87.69249558448792
Rice,C-USA,47000,fbs,29.71623402909437,-95.40926456451416
Air Force,Mountain West,46692,fbs,38.99690743122685,-104.84368801116943
Oregon State,Pac-12,45674,fbs,44.5594768421455,-123.2814073562622
UCF,American,45323,fbs,28.607958859227068,-81.1929988861084
Baylor,Big 12,45140,fbs,31.55866263551169,-97.11560010910034
Utah,Pac-12,45017,fbs,40.75994782004573,-111.84882402420044
TCU,Big 12,45000,fbs,32.70991596942349,-97.36799597740172
Boston College,ACC,44500,fbs,42.33510834895851,-71.16647243499756
Fresno State,Mountain West,41031,fbs,36.81431969524593,-119.75810156690552
Vanderbilt,SEC,40350,fbs,36.14355849696379,-86.80877208709717
UConn,American,40000,fbs,41.75988427820291,-72.61894226074219
Cincinnati,American,40000,fbs,39.13128425273405,-84.51626143741578
Houston,American,40000,fbs,29.721767963293527,-95.34909841095214
New Mexico,Mountain West,39224,fbs,35.06761048267165,-106.6281028358157
Marshall,C-USA,38019,fbs,38.42486536179161,-82.42185831069946
Army,Independent,38000,fbs,41.38708043477422,-73.964080810546875
Boise State,Mountain West,37000,fbs,43.6027080538683,-116.19591236114502
Louisiana,Sun Belt,36900,fbs,30.21579609675613,-92.01626413552384
UNLV,Mountain West,36800,fbs,36.08597388046924,-115.01711368560792
Southern Miss,C-USA,36000,fbs,31.328978426612316,-89.33133065700531
Tulsa,American,35542,fbs,36.148860675192054,-95.943603515625
Colorado State,Mountain West,34400,fbs,40.561742448678,-105.13984371192213
Navy,American,34000,fbs,38.98483263543365,-76.5071153640747
Duke,ACC,33941,fbs,35.9953166502013,-78.94172430038452
South Alabama,Sun Belt,33500,fbs,30.67423898730675,-88.07563304901123
Central Michigan,MAC,32885,fbs,43.577612282574535,-84.77082967758179
Washington State,Pac-12,32248,fbs,46.731967978653024,-117.16058578781136
SMU,American,32000,fbs,32.83771580994254,-96.782705783844
Wake Forest,ACC,31500,fbs,36.09183481061275,-80.25534152984619
Middle Tennessee,C-USA,31000,fbs,35.85110908054087,-86.36844992637634
Arkansas State,Sun Belt,30964,fbs,35.84899009532366,-90.66769494362912
North Texas,C-USA,30850,fbs,33.20393508408917,-97.15922355651855
Louisiana Tech,C-USA,30600,fbs,32.53223809915824,-92.6560188758494
San Jose State,Mountain West,30456,fbs,37.320105186690846,-121.86811613079064
Louisiana-Monroe,Sun Belt,30427,fbs,32.53106869451547,-92.06644075067642
New Mexico State,Sun Belt,30343,fbs,32.27974938226407,-106.74113631248474
Western Michigan,MAC,30200,fbs,42.285755487470176,-85.60100421309471
Eastern Michigan,MAC,30200,fbs,42.2557607087688,-83.64775657653809
Nevada,Mountain West,30000,fbs,39.546924850171585,-119.8175597190857
Texas State,Sun Belt,30000,fbs,29.89134454879716,-97.92531180559462
Akron,MAC,30000,fbs,41.07256951528711,-81.50838375091553
Florida Atlantic,C-USA,30000,fbs,26.3754535636523,-80.10168313980103
Troy,Sun Belt,30000,fbs,31.799527415252125,-85.95217691586194
Tulane,American,30000,fbs,29.945898112528432,-90.11519112306328
Wyoming,Mountain West,29181,fbs,41.311935992992474,-105.56906461715698
Buffalo,MAC,29013,fbs,42.99906838239644,-78.7775194644928
Georgia State,Sun Belt,28155,fbs,33.75761737647849,-84.4010603427887
Toledo,MAC,26248,fbs,41.65739077895321,-83.61401719150295
Utah State,Mountain West,25513,fbs,41.75153188612883,-111.81210567885644
Northern Illinois,MAC,25500,fbs,41.934014,-88.778222
Kent State,MAC,25000,fbs,41.13908682549516,-81.31343945860863
Georgia Southern,Sun Belt,24300,fbs,32.41221167634779,-81.78317070007324
Miami (OH),MAC,24286,fbs,39.51942113142349,-84.73335450140017
Appalachian State,Sun Belt,24050,fbs,36.21151530169309,-81.68550610542297
Ohio,MAC,24000,fbs,39.32130908459409,-82.10343944652357
Bowling Green,MAC,23724,fbs,41.37805439803228,-83.62248212099075
FIU,C-USA,23500,fbs,25.75249278747405,-80.37786483764648
